text,value
Ban suru balikin mulu nah guard nya buat ap dong???masa nyerokin daun kering doang krjanya,NEGATIF
Tempat bermain air terlengkap dijogja banyak promonya,POSITIF
"Jalur kunjungan satu arah, jadi pengunjung diarahkan sesuai dengan petunjuk arahnya jadi tidak perlu khawatir bertubrukan dengan pengunjung lain dari arah yang berlawanan. Petunjuk arah rutenya terlihat jelas.

Hewannya kebanyakan hanya 1 ekor 1 kandang. Tidak ada badak, jerapah, kanguru, macan tutul",POSITIF
Krg terawat n tempat hiburan buat anak kecil tdk da...,NEGATIF
gak boleh masuk candi. peraturan gak mutu.,NEGATIF
Jalan keluar candi terlalu jauh rutenya. Melelahkan buat anak2 dan orang tua.,NEGATIF
"Exit parkir MACET
Exit parkir hanya 1 gerbang jd selalu macet, apalagi jam2 tutup mall bisa 30 menit macet br bisa keluar mall
Disarankan ditambah gerbang ecit parkirnya!!!!!!",NEGATIF
Pernah kesini,NEGATIF
pantai sudah mulai ramai kembali sejak penutupan akibat ppkm,POSITIF
terletak di sebelah barat pantai Parangtritis. khas di tempat ini kita dapat menikmati masakan ikan laut  yang dibeli di pasar ikan yang ada disana dan warung-warung yang memasakkan ikan yang dibeli,NEGATIF
"Pantainya kotor shg tdk nyaman utk dinikmati. (Fyi, krn menu tdk mencantumkan harga) Lebaran 2021kmrn kami makan seafood di salah satu warung, harganya: udang å? kg = 80k, cumi å? kg = 40 k, kelapa muda utuh = 15 k/butir, ikan bawal hitam 0,6 ons = 78 k. Soal rasa cukup enak.",NEGATIF
Tempat yang selalu sayang ingin kunjungi kembali. Saya kemarin belum sempat foto-foto yang banyak. Harga tiket masuk terjangkau. Pemandangan bagus. Sebagai salah satu bukti sejarah kerajaan Hindu-Buddha di Indonesia. Wajib ke sini.,POSITIF
"Salah satu taman satwa di Jogja yang nyaman, lengkap, dan bersih di sekitar  Jawa Tengah",POSITIF
Parkir lumayan jauh.mall terlalu luas.,NEGATIF
Lumayan... Tapi agak serem sih lihat dari atas...,POSITIF
Cocok utk break makan siang saat berwisata di seputaran Tritis & pantai cemarasewu,POSITIF
Ikannya segar,POSITIF
Kesini Dec 2018. Saya pribadi sangat kurang menikmati karena mungkin datang di musim liburan. Selain itu ukiran di dinding2 tebing masih kurang dan banyak yang belum selesai. Parkiran  dikepung tanah merah jadinya kalau hujan tanahnya belokk. Juga tempatnya panas sekali kurang shade untuk berteduh. Benar2 untum foto dan exist di social media. Disediakan burung hantu juga untuk foto tapi bayar seikhlasnya dan terjangkau. Karena datang saat Natal juga disediakan properti Natal eskimo2an.yang kalau difoto lumayan lucu. Ada bunga2an dari besi untuk di naikkan dan kita bisa foto di atasnya. Untuk yang susah naik dan cuma mau duduk2 nunggu ada rumah2 makan dibawah. Buat yang gila 4WD...eits bisa naik tapi bayar yah dan kalian cuma bisa jadi penumpang max 4 orang. Disetirin keliling dengan 4WD. Harus pakai helm ya. Mayoritas mobilnya Jimny or Katana yang atapnya terbuka,NEGATIF
Nextime balik lagi kesini?ÙÔ?ÙÔ?ÙÔ,POSITIF
Ada masjid di sekitar pantai,POSITIF
Berisik ga nyaman ada rental atv,NEGATIF
lumayan besar.. kelas menengah ke atas,NEGATIF
Harga tiket masuk 10K perorang. Kalo naik bus yang wisata2 kurang tau ya. Bagus sih. Banyak spot fotonya. Keren. Murah. Mantap,POSITIF
"Emeizing.. tempat sejarah indonesia. Tiket masuk dewasa 50rb anak2 40rb kalo ga salah. Parkiran luas, bawa payung aja, tp ada yang suka sewain payung 10rb an.. juara candinya. Suka dipakai acara live music juga. Tetap protokol kesehatan ada.. tempat cuci tgn ada dmn mana. Wajib pakai masker",POSITIF
"Luas, indah..",POSITIF
"
Sampah dimanamana gaes",NEGATIF
Saya akan kembali lagi,POSITIF
"Pantainya sangat indah, penataannya juga bersih dengan masuk tanpa karcis/ tiket mantap pokoke?ÙÓ´",POSITIF
Tebing batu yang diukir naga dan terletak di atas ketinggian sehingga saat sore bisa melihat suasana dibawahnya tanpa terasa panas.,POSITIF
"Pantainya nggak jernih sih, tapi kalau mau kuliner ikan2 segar pantai Depok bisa dikatakan surganya",NEGATIF
"Tgl 24 des 2019...air keruh,sepertinya filter air gak maksimal. Beda kayak waterpark yang lain. Air bening biru jarum jatuh aja kelihatan",NEGATIF
Mahal tiketnya,NEGATIF
"Kesananya sore2an, jadi tdk terlalu panas",POSITIF
Semakin penuh,POSITIF
Tempat nyaman. Dimasa pandemi untuk masuk mall masih cukup ketat prokes. Parkiran luas. Banyak store dan tempat makan.,POSITIF
"Karena deket sama rumah, Mall nya enak, nyaman, kalu weekend rame tp masih terkondisikan, sering makan di foodcourd dan enak enak.",POSITIF
"Sayangnya berkunjung hanya bisa sampai pelataran halaman saja,tidak bisa naik ke candi..tapi bagus keren bangunan nya..luar biasa karya jaman leluhur  jaman dulu..",POSITIF
"Pemandangan indah, masih perlu pengembangan sarana dan prasarana",POSITIF
"Parkir sangat mahal,parkir kog 25 ribu...itu namanya pemerasan...trlalu luas lokasi bonbinnya...tapi hewan cuma seadaany...",NEGATIF
Anginnya kenceng jadi tidak terasa panas,POSITIF
"Temaptnya kurang bagus dan kurang menarik serta tidak memuaskan, mas binatangnya gak ada semua, cuma lihat kandangnya saja binatangnya gak ada kosng melompong. ?Ù÷??Ù÷?
Saya kecewa dengan tempat ini",NEGATIF
"Walopun berangkat gasik, tetep sampe depok udah rame banyak orang",POSITIF
"Pengelolaan tempat wisata profesional, dikarenakan sedang dalam keadaan covid pengunjung diharap untuk menaati protokol kesehatan, di depan sebelum pintu masuk sudah disediakan tempat cuci tangan oleh pihak pengelola, harga tiket masuk yaitu sejumlah 50 ribu rupiah dan 75 ribu rupiah untuk paket wisata dengan candi ratu boko juga, bagi yang memilih candi ratu boko juga akan mendapatkan shuttle gratis bolak balik dari prambanan ke ratu boko, area prambanan ini sangat luas, bisa butuh waktu setengah hari untuk melihat2 komplek candi secara full",POSITIF
"Enakk, bisa makan ikan bakar sambil Liat pemandangan laut, Ada kapal nelayan jugaa, bisa milih berbagai jenis masakan seafood, byk tempat menawarkan ikan bakar cakalang, harganya Masih terjangkau, sekilo dihargaai 50k isi 4 ikan cakalang, adaa juga menu cumi goreng tepung, kerang hijauu Asam Manis, kepitingg, Dan berbagai macam hasil laut, rekomen bgd utk wisata keluargaaa,",POSITIF
"Hari ini di bela belain ke Parangtritis, ternyata zonk. Kotor banget pantainya",NEGATIF
Tempatnya bagus ...suasana alam....bekas pertambangan batu..sekarang sudah dibuat tempat wisata....ok....juga ada foodcourt murah2....bisa keliling2 dengan mengunakan jip...murah banget...,POSITIF
"Ternyata main ke Prambanan gak cukup cuman beberapa jam atau mungkin satu hari kunjungan aja. Harus nambah lagi, sampe puas!! Prambanan see u next time!!!",POSITIF
"Makan seafood di sini mahal, biaya masakinnya lebih",NEGATIF
rasakan sensasi ikan bakarnya.. depok memang beda,POSITIF
Sebagian warung ada yang ga jujur,NEGATIF
Tempat yang bagus dan ramai ... Apalagi kalau pas waktu sunrise sama sunsets amazing lah pokoknya by #Rohman_,NEGATIF
Mantap,POSITIF
"pantai yang terkenal karena bisa beli ikan dan makan di tempat. Retribusi masuk 9750, parkir mobil 7000 sewa ATV 50rb per 15 menit",POSITIF
"Pantainya bagus, selama PPKM lumayan bersih.. cuma sempat kaget, 5mnt duduk di kursi yang ada di pinggir pantai, langsung ada yang nyamperin trus suruh bayar 20rb.",POSITIF
"Pantai pasir hitam dengan ombak yang besar, maklum ini bagian dari pantai selatan. Indah, bisa sekalian beli hasil laut langsung dari nelayan sekitar. Lokasinya pun mudah ditemukan dan dijangkau ?ÙÎ??ÙÎ??ÙÎÉ?ÙÎÉ?Ù?Ô?ÙÂ?ÙÙ?ÙÙ?ÙÜ?Ù??ÙÁ?ÙÊ",POSITIF
Khususnya hari sabtu.mau klr mobil  jam 21:00.bru bs klr mall jam 22:00 lbh.loket klr cuma satu.petugas pd tdr kali..tdk ada yang atur juga.pdhl msh padat sekali...tdk nyaman sekali.1jam lebih hanya klr dr mall!!!sdh tau ramai sabtu dan minggu.petugas malah tdk ada..!!,NEGATIF
Mahal,NEGATIF
"Mall nya bagus tapi tidak ramah buat ibu-ibu menyusui. Kata petugasnya ada ruang laktasi, aktualnya hampir semua ruang dikunci. Ruang yang dibuka pun sangat tdk layak buat laktasi bayi. Petunjuk ruang laktasi sama sekali tidak ada. Silahkan diperbaiki.",NEGATIF
"Salah satu tujuan wisata pantai dan kuliner ikan laut.
Harganya juga tidak mahal.",NEGATIF
Sangat indah tiket masuknya sangat terjangkau,POSITIF
panas banget..lebih baik berkunjung kesini jika siang membawa payung..toiletnya bau pesing..padahal ada uang kebersihan..,NEGATIF
"Wahana taman bermain air yang populer di jogja, cocok banget buat rame2 bermain selamat mencoba",POSITIF
Kurang pengunjung,NEGATIF
Tempat yang nyaman buat sekadar melepas lelah sambil makan hidangan laut. Pilih2 warung yang dekat pantai jadi tak perlu jalan jauh.,POSITIF
"Tempat wisata keluarga..anak anak suka...ada aneka satwa,cm tadi cari jerapah tp tidak ada..walaupun masa pandemi tapi masih menyenangkan..cuma tiketnya agak mahal dari hari biasa,tapi bebas naik wahana kereta dan kapal",POSITIF
"Jalanan keobjek wisata memang cukup menantang,karna pendakian tajam,tapi setelah sampai di lokasi wisata,masyaallah terbayar semuanya,,,tempatnya sangat indah,tiket masuk dan parkirnya murah meriah, pemandu wisata yang ramah dan spot  foto yang sangat keren,, kalau masuk waktu sholat jangan khawatir,mushollah nya super super bersih,airnya sangat lancar,,, yang lebih menarik lagi makanan dan minumannya sangat sangat murah.... Dijamin betah berlama lama disana .... Tebing breksi kereeeeeeeeeeeennnnnnnnnnnnn",POSITIF
Ga recommended kalau mau dateng sekarang. Petugas ga bisa ngatur pemakaian ban. Harusnya ban dibatasi buat wahana tertentu aja. Yang dudukin ban atau istirahat musti gantian sama yang laen. Ga worth it deh meskipun harga promo. Mending bayar full tapi bisa menikmati dari pada bayar promo tapi gini amat. Pengunjung kaya pasar tapi fasilitas terbatas.,NEGATIF
"Ini pertama kali saya kunjungi tempat ini
Tebing breksi kurang lebih 45 mnt dari malioboro, jalan yang menanjak membuat suasana riang, tapi saya sarankan untuk datang jam 3 sore keatas karena jika di atas jam 3 sore sangat panas sekali,,, tebing ini si ukir menjadi tempat rekreasi, ada kebun mangga yang pendek dapat langsung kita petik dan langsung nikmati,dteng ya gaess",POSITIF
"Tempat yang asik tak hanya untuk anak-anak, dan sangat bagus untuk memberikan edukasi",POSITIF
"Pantainya kotor. Banyak sampah. Tiket masuk termasuk mahal untuk pantai yang tidak begitu bersih. (tiket masuk 10k/ orang) plus parkir motor 3k *mobil kurang tau.
Di samping pantai terdapat landasan pacu yang merupakan spot foto ?ÙÒá yang keren. Juga di samping nya di tumbuhi pohon-pohon cemara ?Ù?ã yang masih hijau. Seperti nya bisa untuk latihan nyetir mobil juga. ?Ù÷ã",NEGATIF
"ini favoritku.
makan dengan view ombak laut...
menu ikan lautnya murah..

klo ke pantai parangtritis jangan lupa mampir kesini.
mau ikan langsung dari nelayan juga ada
atau naik atv jg ada",POSITIF
Tempat rekreasi rekomendasi di Jogja ?ÙÔ?ÙÈ,POSITIF
"Dapat diskon 70% untuk tiket masuknya, dari yang semula 100rb menjadi 30rb saja..
Water park terbesar di Jogja dengan berbagai macam wahana yang didesain untuk anak kecil dan orang dewasa, ada kolam ombak, ada kolam sungai yang mengalir, banyak perosotan untuk anak2 dll.
Bagi adrenalin junkies bisa coba seluncuran dr ketinggian setara gedung lantai 5..
Cocok untuk wisata keluarga..",POSITIF
Pantai tempat pelelangan ikan..ada pasarnya juga...bagi penggemar seafood sangat cocok untuk berburu ikan atau kepiting udang dll...murah,POSITIF
"Rp.10rb per orang untuk tiket masuk, Rp. 7rb untuk parkir mobil hanya untuk membeli ikan?? Hanya untuk membeli ikan guys... karena pantai dan laut selatan tidak bisa Anda nikmati untuk berenang...",NEGATIF
"Biaya : 50ribu / dewasa
Biaya : 25ribu / anak anak diatas 5 tahun

Worth it sih dengan harga segitu.
Tapi, entah kenapa seharusnya dibuat tiketing foto sih, karena banyak sekali berdesakan dan banyak sekali yang tidak mau mengalah untuk berfoto.
Adat, tatakrama, etika nya masih kurang.

Btw, pemandangan nya ya seperti itu.
Keren sudah pasti dengan harga tiket sebesar itu.
No debat lah istilah kasarnya.

Namun, ketika pintu keluar lewat jalur pintu keluar sudah harus dan siap melewatinya karena melewati pasar, dan harus berjubel desak desakan, banyak yang tidak menggunakan masker, banyak yang tidak social distancing.

Btw, masuk tidak perlu pakai rapid dan antigen,
Kita hanya di check suhu, kita hanya disuruh social distancing dan mencuci tangan 3x di 3tempat.

Lalu, penyewaan payung seharga 5ribu.
Lalu, ada tempat khusus pembelian air mineral setelah keluar dari area candi Prambanan di dekat lapangan.
Setelah keluar dari lapangan kita bisa memilih untuk exit atau ke candi yang lain nya. sebelum pintu exit kita bisa melihat berbagai hewan disitu istilahnya ""kebun binatang kecil""",POSITIF
Banyak binatang buas,NEGATIF
Pantai depok cantik,POSITIF
"hotel panas, ac nya tidak benar.",NEGATIF
Jalan menuju pantai depok,POSITIF
"Keyeeenn abizzz tempatnya...
Untuk liburan keluarga melepas penat..",POSITIF
Panaaassss gersanggg..,NEGATIF
"Selamat siang. Mohon maaf sy kecewa dengan penyewaan gazebo nya. Tempatnya oke, teduh. sy jg tdk mempermasalahkan soal biayanya. Jika setimpal dengan yang didapat. Ada aja yang tidak tau kl gazebo sudah disewa.. orang lain ikut numpang duduk. Tolonglah ada tanda apa gitu.. biar org lain tau kl gazebo itu sudah disewa.  Apakah penyewaan gazebo yang membayar apakah org pertama yang memakai? Saat kt plg sptnya sudah tdk ada penjaga yang menutup kembali gazebonya. Jd bisa dipakai sm org lain. Mohon lebih diperhatikan kembali. Supaya pengunjung lebih nyaman. Terimakasih.",NEGATIF
tempat yang bersih...varian makanannya banyak...ikan2nya seger,POSITIF
"Pelayanan baik dan ramah, treatment nya sangat bagus, apalagi tempatnya nyaman bersih lagi, pokoknya gak nyesel deh dateng ke siniâ˜º",POSITIF
"Banyak wahan yang menarik, bisa untuk anak-anak dan dewasa..",POSITIF
"Tempatnya bagus, htm juga murahhh cm 10k, parkir 2k, recommended lah yaa... Viewnya masyaallah...",POSITIF
"Pantainya pasir item , kotor , banyak prahu nelayan di pinggiran pantai, airnya keruh",NEGATIF
Pantainya cukup bersih.. Penjual penjualnya ramah.. Bisa beli ikan sepuasnya disana dan dimasak sekalian.. Pokoknya mantap sekali.. â˜ºâ˜º,POSITIF
Tempatnya bagus tp kurang tertata rapi,NEGATIF
Dear Hartono Mall.. tolong LIFT TOLOLnya dibenerin..,NEGATIF
Marketingnya kurang ramah. Ditanya sejak minggu ditelp sejak minggu baru nanggapi selsa. Itupun setelag di telp lagi,NEGATIF
Enak nya di pantai depok anak2 bisa renang di kolan renang.. Dan enaknya ada pasar ikan segarnya.,POSITIF
B aja lebih ke jelek,NEGATIF
Keren bget utk wahananya.. Recommended,POSITIF
"Tempat nya mudah dijangkau, dari kota ga sampai sejam naik motor. Kesini karena pengen kulineran seafood. Ternyata kita beli sendiri dulu ikan segarnya dipasar baru dibawa ke warung untuk minta dimasakin. Pas kesini ditawari sama ibu ibu utk ke warungnya aja dan beli ikannya dari orang yang jual dipinggir pantai. Agak mahal dikit sih menurut saya tp pas sudah disajikan sama ibu tadi maknyus sangat. Warungnya memang jauh dibelakang dan ga dpt pemandangan tapi terbanyar karena makanannya enak banget, sampai bungkus bawa pulang aja krn ga sanggup habisin semua. Kalo soal pantai lumayan lah. Pantainya bukan pasir putih tapi cukup bersih. Ombaknya besar, sama sekali bukan untuk berenang. Lain kali kalo ke jogja pengen kesini lagi makan seafood.",POSITIF
"Mall bersih, besar dan lengkap. Mall favorit!",POSITIF
"HOTEL MARRIOT NGAYOGYOKARTO HADININGRAT, hanya satu kata menilainya : BERKELAS ðŸ˜ðŸ˜ðŸ˜ðŸ˜",POSITIF
Mantap pantainya.tp hotelnya kurang bersih,NEGATIF
"Pantai ini ombaknya besar, jadi disarankan untuk tidak berenang atau mendekat ke bibir pantai ya. Menariknya wisatawan bisa membeli hasil tangkapan nelayan langsung dari atas kapal-kapal nelayan yang baru saja merapat ke pinggir pantai. Atau bisa juga beli di pasar ikan yang berada di dekat parkiran.
Disini juga terdapat banyak rumah makan yang menyediakan seafood. Harganya standar, tidak terlalu mahal.",POSITIF
"Disini kita bisa mengenal banyak hewan,disini tempatnya nyaman",NEGATIF
Tempat berbahaya ...,NEGATIF
Tempat nya seru buat anak2 dan liburan keluarga,POSITIF
Terlalu mahal untuk masyarakat kecil.jauh lebih murah di ibukota negara..pedagang di depan loket memaksa  ke anak2..,NEGATIF
"Mal yang sangat besar dan luas bersih dan nyaman,,, toilet air nya tolong di perhatikan sajak ya jadi ga bauðŸš½ðŸš½ðŸš½ðŸ˜¢ðŸ˜¢ðŸ˜¢",POSITIF
Asyiknya beli ikan segar,POSITIF
Tempat wisata tebing breksi wisata alam dengan tebing yang bagus ?ÙÔ,POSITIF
"Tidak perlu diragukan untuk kecantikan kompleks Candi Prambanan. Sebagai pecinta dan penikmat kemegahan sebuah candi, saya tidak akan puas untuk hanya mengunjungi 1 candinya saja. Tiap sudut dan bagian candi nya saya kunjungi semua. Ada juga beberapa spot wisata di area kompleks untuk berselfie kekinian..tourism information centre.. Dan juga kereta wisata untuk berkeliling tanpa merasa lelah. Tiket 40k sebelum pandemi.",POSITIF
Leh uga. Dari pantai bisa menuju muara Kali Opak. Hati2 karena arusnya cukup deras,POSITIF
Mantap,POSITIF
Sekarang kotor. Sepertinya tidak ada petugas kebersihan. Lalu apa gunanya biaya retribusi,NEGATIF
Terlalu mahal harga tiketnya,NEGATIF
Tempat yang cocok untuk makan ikan,POSITIF
Sangat indah,NEGATIF
"Baru pertama kali ke tebing breksi, disana banyak tukang foto yang bisa membantu kalian mengabaikan moment dan bisa bayar sukarela (tp hasil foto ga kaleng-kaleng so kalian bisa bayar selayaknya) bersih dan ada tersedia alat beli minum seperti di Korea wkwk (maap baru pertama kali make alatnya)",POSITIF
Tempat rekreasi yang menarik.......,POSITIF
Senja hari indah banget... Bagus banget lihat pemandangan dari atas.,POSITIF
"Salah satu objek wisata yang harus dikunjungi apabila ke Yogyakarta, ga jauh dari pusat kota, tiket masuk & tiket parkirnya murah, parkiran luas, disarankan klw ketempat ini pagi"" sekali jam 6, klw nggak petang hari sekalian jam 6.?ÙÔ?Ù÷",POSITIF
"Lumayan seru ... Sayang wahana lain seperti speed boat, dll hanya buka setiap hari Sabtu dan Ahad. Untuk yang ingin berkunjung ke Gembira Loka, buka setiap Senin-Kamis dengan harga tiket Rp60.000, khusus hari Sabtu, Ahad dan tanggal merah, harga tiket Rp75.000. Tidak boleh memberi makan binatang, hiks ...",POSITIF
Tempat makan ikan dan liat sunset yang cangik banget di Jogja.. jd klo ke Jogja jangan lupa ke sini,POSITIF
Bagus tapi banyak bangunan yang direhap,POSITIF
Indah dan menyenangkan,POSITIF
Sangat ribet utk berbelanja,NEGATIF
Tempat hiburan murah dan jangan lupa bawa joran ya,POSITIF
Terasa masih ada di alam kerajaan,POSITIF
"Panansnya guys kalo siang tp ga usah khawatir ya karna ada penyewaan payung. kalau sore sunsetnya bagus banget, kalau malam juga syahdu banget nih tempat.
Ada balkondes juga buat kumpul makanå? sama keluarga, ada panggung gembira, ada trail buat keliling.
kalau lapar tenang aja guys, ada food court lengkap kok.",POSITIF
"Salah satu Objek wisata yang wajib kalian datangi saat berkunjung ke Jogja

Candi PrambananåÊatauåÊCandi Roro JonggrangåÊ(bahasa Jawa:åÊ?¥??¤Û??¦‰ÛÜ?´?À?©¤Û?¤????¤Û,åÊtranslit.åÊCandhi Prambanan) adalah kompleksåÊcandiåÊHinduåÊterbesar diåÊIndonesiaåÊyang dibangun pada abad ke-9 masehi. Candi ini dipersembahkan untukåÊTrimurti, tiga dewa utama Hindu yaituåÊBrahmaåÊsebagai dewa pencipta,åÊWisnuåÊsebagai dewa pemelihara, danåÊSiwaåÊsebagai dewa pemusnah. BerdasarkanåÊprasasti SiwagrhaåÊnama asli kompleks candi ini adalahåÊSiwagrhaåÊ(bahasa SanskertaåÊyang bermakna 'Rumah Siwa'), dan memang diåÊgarbagrihaåÊ(ruang utama) candi ini bersemayam arca Siwa Mahadewa setinggi tiga meter yang menujukkan bahwa di candi ini dewa Siwa lebih diutamakan.",POSITIF
Mau nonton jatilan di cancel..kenapa gak di cancel dari awal..bikin pengunjung kecewa,NEGATIF
"Pas tanya awal biaya masak perKG nya 15rb,,, ternyata kurang dari 1 KG tetap dianggap 1 KG,, sama per KG nya buka berat total ikan tapi per menu makanan,,, kalau pesannya banyak jenis menu makanan bakalan jebol jg dompetnya",NEGATIF
Tempat rekreasi alam yang indah di Sleman Yogyakarta,POSITIF
Tiket masuk tergolong mhal iiiichh,NEGATIF
pantainya g bs buat main air plng pas buat makan dengan view pantai,NEGATIF
Asyik.. Menegangkan... Seru,POSITIF
Cuma moto aja gak boleh,NEGATIF
Sejuk dan indah,POSITIF
Bagi yang membaya mobil pribadi atau bus... Untuk tempat parkirnya insyaallah luass,NEGATIF
pilih ikan mu sendri dan masak di tempat sesuai selera,POSITIF
Luar  biasa candi yang bisa memberikan suatu  pengetahuan  bagi  anak  anak kita,NEGATIF
Tempat nya bagus indah saya pingin kesana lagi cuma kurang pembenahan mungkin tahun depan lebih bagus lagi,POSITIF
"Tukang parikirnya killer
Baru masuk belum markirin motor liat ombaknya lagi gede saya cabut lagi
Suruh bayar parkir saya bilang pak saya belom parkir
Masih aja di minta
Dan sampai di katain
Yaudah daripada cekcok duit tigarebu saya kasih",NEGATIF
"Serba mahal, tidak tersedianya mesin atm, dikolam ombak terlalu bahaya utk anak usia dini tanpa pengawasan orangtua & petugas kurang mengawasi utk anak anak",NEGATIF
"Mahakarya nenek moyang bangsa Indonesia yang mengagumkan, candi Hindu peninggalan raja Syailendra masa kerajaan Mataram kuno.

Disini merupakan komplek situs budaya, di dalam area berdiri beberapa candi. Lingkungannya terawat bersih.",POSITIF
"Perparkiran motor buruk malah semakin semramuwut, motor ga bisa keluar",NEGATIF
Kolam renang Depok,NEGATIF
Pantai wajib dikunjungi ðŸ‘,POSITIF
2 bintang c,NEGATIF
"pantainya jorok, kemfroh, semrawut, sepertinya tidak ada pengelolaan yang terpadu atau memang dibiarkan begitu saja",NEGATIF
"Mall nya besar sekali sampai kadang bingung arah , hahahaa
Tempat bersih , banyak petugas disetiap lantai bisa tanya informasi apapun terkait mall
Semenjak pandemi beberapa toko tutup
Masuk scan pedulilindungi dan cek suhu
Hampir semua ada disini dr resto sampai biskop
Juga hypermart dan toko2 barang branded",POSITIF
"Candi Prambanan atau Candi Roro Jonggrang adalah kompleks candi Hindu terbesar di Indonesia yang dibangun pada abad ke-9 masehi. Candi ini dipersembahkan untuk Trimurti, tiga dewa utama Hindu yaitu Brahma sebagai dewa pencipta, Wisnu sebagai dewa pemelihara, dan Siwa sebagai dewa pemusnah. Berdasarkan prasasti Siwagrha nama asli kompleks candi ini adalah Siwagrha (bahasa Sanskerta yang bermakna 'Rumah Siwa'), dan memang di garbagriha (ruang utama) candi ini bersemayam arca Siwa Mahadewa setinggi tiga meter yang menujukkan bahwa di candi ini dewa Siwa lebih diutamakan.

Kompleks percandian Candi Prambanan secara keseluruhan berada di wilayah provinsi Daerah Istimewa Yogyakarta, namun pintu administrasinya berada di Daerah Istimewa Surakarta (sekarang bagian Provinsi Jawa Tengah), hal ini yang membuat Candi Prambanan terletak di 2 tempat yakni di Desa Bokoharjo, Kecamatan Prambanan, Kabupaten Sleman dan di Desa Tlogo, Kecamatan Prambanan, Kabupaten Klaten, atau kurang lebih 17 kilometer timur laut Yogyakarta, 50 kilometer barat daya Surakarta dan 120 kilometer selatan Semarang, persis di perbatasan antara Daerah Istimewa Yogyakarta dan Daerah Istimewa Surakarta.

Candi ini adalah termasuk Situs Warisan Dunia UNESCO, candi Hindu terbesar di Indonesia, sekaligus salah satu candi terindah di Asia Tenggara. Arsitektur bangunan ini berbentuk tinggi dan ramping sesuai dengan arsitektur Hindu pada umumnya dengan candi Siwa sebagai candi utama memiliki ketinggian mencapai 47 meter menjulang di tengah kompleks gugusan candi-candi yang lebih kecil.Sebagai salah satu candi termegah di Asia Tenggara, candi Prambanan menjadi daya tarik kunjungan wisatawan dari seluruh dunia.

Foto oleh TomÌÁÁ MalÌ?k dari Pexels",POSITIF
"Parkir mobil sulit...
1/2lebih tempat parkir buzt valey..
Banyak mobil muter aja nggak dpt parkir keluar lagi",NEGATIF
Ndak ada wahana apa2,NEGATIF
Tempat makan seafood terbaik ga pake mahal,POSITIF
Cocok untuk kuliner spesial ikan segar dari laut selatan,POSITIF
"Seafoodnya murah terus enak. Senaaaang!
Gonna miss it?Ù÷?",POSITIF
"Pesona laut indah sambil menikmati kuliner bebakaran aneka ikan laut di Warung makan ""Salsabila 2""",POSITIF
Harga 2 didalam wisata terlalu mahal,NEGATIF
"Mall terbesar di jogja, gausah ditanya kelengakapannya, semua ada disini dong, kemarin kesini ke uniqlo lagi diskon",POSITIF
pantainya kotor..,NEGATIF
Banyak candi yang rubuh tak diperbaiki.,NEGATIF
"Tebing breksi adalah salah satu tujuan wisata yang berada di kawasan candi Mendut kearah candi ijo, dan disana menampilkan keindahan karya seni yang berbahan dari batu padas yang di buat/diukir menjadi sebuah mahakarya, dan salah satu yang sering di gunakan untuk foto bersama adalah ukiran naga kemudian masih banyak ukiran-ukiran yang berada di dinding dan memamerkan ke exotisan batu, dan disana juga di lengkapi dwngan kedai-kedai food court berbagai jenis makanan, serta lahan parkirnya cukup luas sehingga dapat menampung banyak wisatawan baik itu lokal ataupun mancanegara, dan di saat masa pandemi ini sudah mulai buka, tetapi dari pihak breksi memberikan syarat untuk para pengunjung, yaitu setidaknya sudah melaksanakan vaksin 1 covid 19, dan menggunakan aplikasi peduli lindungi untuk dapat check in kedestinasi wisata ini, disana juga terdapat jeep untuk para pengunjung yang suka dengan adventure sehingga dapat berjalanå? menggunakan jeep,
Kalau masih penasaran bisa langsung kesana untuk menikmati keindahannya, dan juga momentum baik adalah saat sunset tiba dikarnakan menyediakan pemandangan alam yang sangan exotic untuk para penikmat senja?Ù÷à
Ayo yang belum kesana bisa langsung kesana untuk retribusi hanya Rp 10.000 saja dan parkir, untuk makanan dan jajanan cukup bersang ?Ù÷â
Dan jangan lupa mampir ke chanel saya di Owenn Kesanasini dan di bantu subscribe,like dan komentarnya, ?Ù´¡?Ù´¡",POSITIF
Seneng tpi capeknya josss.,NEGATIF
harga makanan  minuman maupun jasa yang ditawarkan cukup mahal. Pelayanan dari warga sekitar juga sangat tidak ramah.,NEGATIF
"Jika pas ada promo... memang sangat membantu baghet utk piknik dengan seluruh keluarga...
Pelayanan dari petugas sangat bagus dan membantu sekali.
Sering ada wahana tertentu yang tutup...
..... kekurangan nya hanya pada bau dilingkungannya yang dominan dengan bau/ aroma pop mie...",POSITIF
Cuacanya panas nyelekit gosong di badan,NEGATIF
"Waspada makan di sini, banyak pengunjung dikenakan harga selangit oleh para pedagang.",NEGATIF
Tempat bagus... ada TPI nya juga,POSITIF
"Di google bilang buka, sampe tempatnya tutup. Cape deh...",NEGATIF
Candi peninggalan peradaban umat hindu terbesar yang pernah dibangun kerajaan Jawa Kuno. Banyak pohon rimbun disana untuk berteduh. Banyak wahananya juga,POSITIF
Pantai Depok adalah pantai yg sederetan dg Pantai Parangtritis kelebihan nya di Pantai Depok dilengkapi dg Kuliner shg bs lbh nyantai sambil menikmati kuliner ikan laut,POSITIF
"Kotor, bau, sumpek",NEGATIF
Mohon segera di tindak lanjuti perihal pelayanan pelanggan pada Mokka caffe,NEGATIF
